filename  	name                                                   	date      	total
Test1.jpg 	Katana Sushi                                           	2018-05-11	143.71
Test2.jpg 	Green Field Churrascaria                               	2016-05-26	56.58
Test3.jpg 	GRAND LUX CAFE                                         	          	69.25
Test4.jpg 	Taco Bell                                              	2016-09-01	7.61
Test5.jpg 	El Gran Mar de Plata                                   	2017-04-20	5.35
Test6.jpg 	Golden Bowl                                            	2019-05-18	15.03
Test7.jpg 	SASKA'S                                                	2017-08-15	179.94
Test8.jpg 	Akira                                                  	2016-11-18	93.58
Test9.jpg 	Dona Mercedes Restaurant                               	          	24.47
Test10.jpg	Bella Pasta                                            	2019-08-09	30.76
Test11.jpg	Friendly Red's Tavern                                  	2018-07-21	77.83
Test12.jpg	Quick 73 Smoke City Market                             	2015-06-26	64.43
Test13.jpg	Hai Phong Pho Ga Bac Ninh                              	2019-04-01	33.26
Test14.jpg	ALBETOS MEXICAN FOOD                                   	          	9.58
Test15.jpg	Loaded Cafe                                            	2019-02-23	48.53
Test16.jpg	HAMMOCKS TRADING COMPANY www.hammockstradingcompany.com	2017-03-10	50.29
Test17.jpg	Chef Wang                                              	2019-02-02	35.52
Test18.jpg	956-350-8686                                           	2016-04-24	11.04
Test19.jpg	L1 T1                                                  	2012-04-27	83
Test20.jpg	Grotto Pizzeria & Tavern                               	2017-05-12	45.58
Test21.jpg	Deccan Spice                                           	2019-07-26	47.02
Test22.jpg	Hawwi Ethiopian Restaurant                             	2018-07-13	69.76
Test23.jpg	Moonstar Restaurant                                    	2018-10-29	37.37
Test24.jpg	Thai Gusto                                             	2017-06-16	30.15
Test25.jpg	New Asia Buffet                                        	          	33.92
Test26.jpg	McDonald's Restaurant #3100                            	2013-02-07	7.27
Test27.jpg	Chris's Hamburgers                                     	2018-07-22	51.82
Test28.jpg	Marriott's Ko Olina Beach Club                         	2019-01-11	47.31
Test29.jpg	Douglas Drive-In Restaurant                            	2019-02-09	34.21
Test30.jpg	RINCON MEXICANO                                        	2017-05-09	30.98
Test31.jpg	Villa D'Este                                           	2017-12-08	94.78
Test32.jpg	Laurel Tavern Hermosa Beach                            	2019-01-12	40.5
Test33.jpg	Wings 'n Things                                        	2019-03-04	9.5
Test34.jpg	Uncle Julio's Durham                                   	2019-05-18	43.47
Test35.jpg	la Source                                              	2015-08-02	17.0
Test36.jpg	Argonaut                                               	2017-08-13	26.38
Test37.jpg	Pappadeaux Seafood Kitchen                             	2017-11-18	52.76
Test38.jpg	Panda Express                                          	2013-03-16	164.89
Test39.jpg	Yogurtland                                             	2018-09-07	20.0
Test40.jpg	CARL'S JR 1100375 (916) 962-3415                       	2016-12-19	13.05
Test41.jpg	SUKHOTHAI SUSHI + ASIAN FUSION                         	2019-04-19	28.04
Test42.jpg	la Source                                              	2015-08-02	17.0
Test43.jpg	FAIRVIEW NJ 07022                                      	2019-02-11	55.39
Test44.jpg	CATERING BK SOUL FOOD &                                	2019-06-23	26.67
Test45.jpg	7635 WINNETKA                                          	2021-05-02	11.0
Test46.jpg	Yum's Restaurant                                       	2018-06-24	22.03
Test47.jpg	Araxi Burger Aventura                                  	2019-03-17	38.86
Test48.jpg	730 Tavern, Kitchen & Patio                            	2017-09-23	85.07
Test49.jpg	EXCELLENCE SERVED DAILY Daily Grill                    	2018-11-01	91.45
