Expected-Result,Tesseract,Asprise SDK,Asprise Cloud OCR,Asprise Cloud API
"Katana Sushi                                           
2018-05-11
143.71","oe
2005-11-16
143.71","p
2005-11-18
143.71","           Katana Sushi
2005-11-18
143.71","Katana Sushi
2018-05-11
143.71"
"Green Field Churrascaria                               
2016-05-26
56.58","GREEN FIELD
1/1/1000
51.9","EHEEN FIELD
1/1/1000
0","               GREEN FIELD
1/1/1000
56.58","Green Field Churrascaria
2016-05-26
56.58"
"GRAND LUX CAFE                                         
2015-05-25
69.25","None
1/1/1000
0","None
1/1/1000
4.0","   GRAND LUX CAFE
1/1/1000
69.25","GRAND LUX CAFE
1/1/1000
69.25"
"Taco Bell                                              
2016-09-01
7.61","ai
1/1/1000
161.0","Taco Eel
9-1-20
0","            For a Chance to WIN
9-1-20
7.61","Taco Bell
2016-09-01
7.61"
"El Gran Mar de Plata                                   
2017-04-20
5.35","None
1/1/1000
0","Hammocks Blvd
1/1/1000
0","           El Gran Mar de Plata
1/1/1000
5.35","El Gran Mar de Plata
2017-04-20
5.35"
"Golden Bowl                                            
2019-05-18
15.03","SOLDEN BOWL TERI
1/1/1000
1.0","GOLDEN BOWL TFRIY
1/1/1000
0","      GOLDEN BOWL TERIYAKI
1/1/1000
15.03","Golden Bowl
2019-05-18
15.03"
"SASKA'S                                                
2017-08-15
179.94","San Diego CA
1/1/1000
0","SUGGESTED TIP
1/1/1000
179.94","                SUGGESTED TIP
1/1/1000
179.94","SASKA'S
2017-08-15
179.94"
"Akira                                                  
2018-11-18
93.58","Akira
1/1/1000
0","m.
1/1/1000
0","None
1/1/1000
0","Name Not Found
1/1/100
0"
"Dona Mercedes Restaurant                               
          
24.47","Dona Mercedes Restaurant
1/1/1000
22.25","Vero
1/1/1000
24.47","     Dona Mercedes Restaurant
1/1/1000
24.47","Dona Mercedes Restaurant
1/1/1000
24.47"
"Bella Pasta                                            
2019-08-09
30.76","wu be pacar trante. on
2006-09-19
0","mun
2008-02-19
0","                 LA
2008-09-19
30.76","Bella Pasta
2019-08-09
30.76"
"Friendly Red's Tavern                                  
2018-07-21
77.83","Friendly Red’s
1/1/1000
0","of Windham
1/1/1000
0","                 of Windham
1/1/1000
77.83","Friendly Red's Tavern
2018-07-21
77.83"
"Smoke City Market                             
2015-06-26
64.43","Pulled Pork Sand
1/1/1000
0",".Reg
1/1/1000
64.43","                  Smoke City Market
1/1/1000
64.43","Quick 73 Smoke City Market
2015-06-26
64.43"
